chr	gene	NAGn	SRIn	Y_Zn
chr7	7A5	13	13	13
chr10	A1CF	14	14	14
chr16	A2BP1	616	616	616
chr12	A2M	7	7	7
chr12	A2ML1	6	6	6
chr22	A4GALT	2	2	2
chr3	A4GNT	4	4	4
chr8	A26A1	7	7	7
chr2	A26C1A	8	8	8
chr2	A26C1B	9	9	9
chr12	AACS	3	3	3
chr3	AADAC	3	3	3
chr3	AADACL1	16	16	16
chr3	AADACL2	5	5	5
chr1	AADACL3	2	2	2
chr1	AADACL4	6	6	6
chr4	AADAT	3	3	3
chr2	AAK1	15	15	15
chr2	AAMP	2	2	2
chr16	AARS	8	8	8
chr6	AARS2	2	2	2
chr4	AASDH	4	4	4
chr11	AASDHPPT	3	3	3
chr7	AASS	6	6	6
chr17	AATF	26	26	26
chr17	AATK	5	5	5
chr16	ABAT	19	19	19
chr16	ABBA-1	3	3	3
chr9	ABCA1	31	31	31
chr9	ABCA2	3	3	3
chr16	ABCA3	10	10	10
chr1	ABCA4	16	16	16
chr17	ABCA5	17	17	17
chr17	ABCA6	16	16	16
chr19	ABCA7	3	3	3
chr17	ABCA8	18	18	18
chr17	ABCA9	19	19	19
chr17	ABCA10	24	24	24
chr2	ABCA12	35	35	35
chr7	ABCA13	144	144	144
chr7	ABCB1	69	69	69
chr7	ABCB4	7	7	7
chr7	ABCB5	25	25	25
chr2	ABCB6	2	2	2
chr23	ABCB7	3	3	3
chr7	ABCB8	3	3	3
chr12	ABCB9	5	5	5
chr1	ABCB10	5	5	5
chr2	ABCB11	19	19	19
chr16	ABCC1	53	53	53
chr10	ABCC2	23	23	23
chr17	ABCC3	10	10	10
chr13	ABCC4	27	27	27
chr3	ABCC5	13	13	13
chr16	ABCC6	40	40	40
chr11	ABCC8	35	35	35
chr12	ABCC9	10	10	10
chr6	ABCC10	4	4	4
chr16	ABCC11	2	2	2
chr23	ABCD1	2	2	2
chr1	ABCD3	9	9	9
chr14	ABCD4	2	2	2
chr4	ABCE1	6	6	6
chr6	ABCF1	6	6	6
chr7	ABCF2	6	6	6
chr21	ABCG1	23	23	23
chr4	ABCG2	9	9	9
chr11	ABCG4	2	2	2
chr2	ABCG5	2	2	2
chr2	ABCG8	7	7	7
chr2	ABHD1	2	2	2
chr15	ABHD2	25	25	25
chr14	ABHD4	3	3	3
chr3	ABHD5	2	2	2
chr3	ABHD6	4	4	4
chr1	ABHD7	2	2	2
chr19	ABHD9	3	3	3
chr3	ABHD10	3	3	3
chr20	ABHD12	6	6	6
chr14	ABHD12B	8	8	8
chr13	ABHD13	2	2	2
chr10	ABI1	11	11	11
chr2	ABI2	5	5	5
chr3	ABI3BP	10	10	10
chr9	ABL1	25	25	25
chr1	ABL2	18	18	18
chr10	ABLIM1	43	43	43
chr4	ABLIM2	43	43	43
chr5	ABLIM3	23	23	23
chr9	ABO	6	6	6
chr7	ABP1	3	3	3
chr17	ABR	42	42	42
chr8	ABRA	7	7	7
chr6	ABT1	2	2	2
chr3	ABTB1	2	2	2
chr11	ABTB2	38	38	38
chr3	ACAA1	2	2	2
chr18	ACAA2	12	12	12
chr17	ACACA	101	101	101
chr12	ACACB	8	8	8
chr11	ACAD8	2	2	2
chr3	ACAD9	2	2	2
chr12	ACAD10	3	3	3
chr3	ACAD11	10	10	10
chr1	ACADM	5	5	5
chr12	ACADS	4	4	4
chr10	ACADSB	4	4	4
chr15	ACAN	18	18	18
chr11	ACAT1	2	2	2
chr1	ACBD3	5	5	5
chr10	ACBD5	4	4	4
chr1	ACBD6	50	50	50
chr10	ACBD7	5	5	5
chr17	ACCN1	68	68	68
chr2	ACCN4	2	2	2
chr4	ACCN5	6	6	6
chr11	ACCS	13	13	13
chr17	ACE	3	3	3
chr23	ACE2	4	4	4
chr14	ACIN1	15	15	15
chr17	ACLY	13	13	13
chr2	ACMSD	6	6	6
chr7	ACN9	7	7	7
chr9	ACO1	17	17	17
chr22	ACO2	4	4	4
chr1	ACOT7	10	10	10
chr20	ACOT8	2	2	2
chr23	ACOT9	9	9	9
chr1	ACOT11	14	14	14
chr5	ACOT12	7	7	7
chr17	ACOX1	8	8	8
chr3	ACOX2	3	3	3
chr4	ACOX3	6	6	6
chr2	ACOXL	13	13	13
chr2	ACP1	3	3	3
chr3	ACPL2	4	4	4
chr3	ACPP	12	12	12
chr22	ACR	2	2	2
chr12	ACRBP	3	3	3
chr11	ACRV1	5	5	5
chr15	ACSBG1	5	5	5
chr19	ACSBG2	11	11	11
chr17	ACSF2	7	7	7
chr16	ACSF3	18	18	18
chr4	ACSL1	16	16	16
chr2	ACSL3	7	7	7
chr23	ACSL4	7	7	7
chr10	ACSL5	10	10	10
chr5	ACSL6	5	5	5
chr16	ACSM2A	4	4	4
chr16	ACSM3	3	3	3
chr12	ACSM4	4	4	4
chr16	ACSM5	5	5	5
chr20	ACSS1	5	5	5
chr12	ACSS3	7	7	7
chr10	ACTA2	7	7	7
chr5	ACTBL2	4	4	4
chr2	ACTG2	2	2	2
chr3	ACTL6A	4	4	4
chr7	ACTL6B	2	2	2
chr9	ACTL7B	2	2	2
chr1	ACTL8	16	16	16
chr14	ACTN1	4	4	4
chr1	ACTN2	6	6	6
chr11	ACTN3	2	2	2
chr19	ACTN4	4	4	4
chr10	ACTR1A	3	3	3
chr2	ACTR2	6	6	6
chr2	ACTR3	2	2	2
chr7	ACTR3B	5	5	5
chr20	ACTR5	6	6	6
chr12	ACTR6	5	5	5
chr3	ACTR8	5	5	5
chr14	ACTR10	5	5	5
chr2	ACVR1	16	16	16
chr12	ACVR1B	3	3	3
chr2	ACVR1C	10	10	10
chr2	ACVR2A	15	15	15
chr14	ACYP1	2	2	2
chr2	ACYP2	20	20	20
chr20	ADA	17	17	17
chr4	ADAD1	13	13	13
chr16	ADAD2	3	3	3
chr15	ADAL	2	2	2
chr8	ADAM2	9	9	9
chr8	ADAM7	14	14	14
chr8	ADAM9	7	7	7
chr15	ADAM10	17	17	17
chr17	ADAM11	2	2	2
chr10	ADAM12	117	117	117
chr2	ADAM17	3	3	3
chr8	ADAM18	23	23	23
chr5	ADAM19	16	16	16
chr14	ADAM20	2	2	2
chr7	ADAM22	18	18	18
chr2	ADAM23	31	31	31
chr8	ADAM28	11	11	11
chr4	ADAM29	7	7	7
chr8	ADAM32	19	19	19
chr20	ADAM33	3	3	3
chr21	ADAMTS1	2	2	2
chr5	ADAMTS2	32	32	32
chr4	ADAMTS3	32	32	32
chr21	ADAMTS5	6	6	6
chr5	ADAMTS6	52	52	52
chr15	ADAMTS7	3	3	3
chr11	ADAMTS8	4	4	4
chr3	ADAMTS9	32	32	32
chr19	ADAMTS10	5	5	5
chr5	ADAMTS12	67	67	67
chr9	ADAMTS13	10	10	10
chr10	ADAMTS14	20	20	20
chr11	ADAMTS15	2	2	2
chr5	ADAMTS16	57	57	57
chr15	ADAMTS17	64	64	64
chr16	ADAMTS18	20	20	20
chr5	ADAMTS19	31	31	31
chr12	ADAMTS20	34	34	34
chr9	ADAMTSL1	151	151	151
chr9	ADAMTSL2	9	9	9
chr15	ADAMTSL3	47	47	47
chr1	ADAR	2	2	2
chr21	ADARB1	23	23	23
chr10	ADARB2	166	166	166
chr16	ADAT1	2	2	2
chr6	ADAT2	4	4	4
chr1	ADC	3	3	3
chr14	ADCK1	25	25	25
chr7	ADCK2	3	3	3
chr19	ADCK4	3	3	3
chr8	ADCK5	7	7	7
chr7	ADCY1	14	14	14
chr5	ADCY2	57	57	57
chr2	ADCY3	7	7	7
chr14	ADCY4	3	3	3
chr3	ADCY5	44	44	44
chr12	ADCY6	4	4	4
chr16	ADCY7	8	8	8
chr8	ADCY8	42	42	42
chr16	ADCY9	42	42	42
chr18	ADCYAP1	3	3	3
chr7	ADCYAP1R1	9	9	9
chr4	ADD1	8	8	8
chr2	ADD2	28	28	28
chr10	ADD3	4	4	4
chr9	ADFP	3	3	3
chr4	ADH1A	2	2	2
chr4	ADH1B	2	2	2
chr4	ADH1C	2	2	2
chr4	ADH4	3	3	3
chr4	ADH5	2	2	2
chr4	ADH6	3	3	3
chr4	ADH7	4	4	4
chr8	ADHFE1	2	2	2
chr2	ADI1	7	7	7
chr20	ADIG	2	2	2
chr3	ADIPOQ	2	2	2
chr1	ADIPOR1	10	10	10
chr12	ADIPOR2	38	38	38
chr10	ADK	18	18	18
chr11	ADM	2	2	2
chr20	ADNP	8	8	8
chr18	ADNP2	7	7	7
chr10	ADO	2	2	2
chr1	ADORA1	9	9	9
chr22	ADORA2A	2	2	2
chr17	ADORA2B	5	5	5
chr1	ADORA3	28	28	28
chr15	ADPGK	3	3	3
chr13	ADPRHL1	7	7	7
chr8	ADRA1A	37	37	37
chr5	ADRA1B	14	14	14
chr20	ADRA1D	8	8	8
chr22	ADRBK2	8	8	8
chr20	ADRM1	5	5	5
chr1	ADSS	7	7	7
chr7	AEBP1	3	3	3
chr12	AEBP2	10	10	10
chr15	AEN	3	3	3
chr19	AES	6	6	6
chr4	AFAP1	29	29	29
chr5	AFAP1L1	17	17	17
chr10	AFAP1L2	19	19	19
chr4	AFF1	26	26	26
chr23	AFF2	30	30	30
chr2	AFF3	34	34	34
